id_action,action,periode_budgetaire,source_financement,annee_financiere,type_depense,depense
1011.0101,"1.1.1.1a. Appuyer l'électrification des véhicules légers - Électrification des automobiles et motocyclettes - Rabais à l'achat (Roulez Vert)","2023-2028","FECC","2023-2024","dépenses réelles",486717459
1011.0101,"1.1.1.1a. Appuyer l'électrification des véhicules légers - Électrification des automobiles et motocyclettes - Rabais à l'achat (Roulez Vert)","2023-2028","FECC","2023-2024","dépenses prévues",206800000
1011.0101,"1.1.1.1a. Appuyer l'électrification des véhicules légers - Électrification des automobiles et motocyclettes - Rabais à l'achat (Roulez Vert)","2023-2028","FECC","2024-2025","dépenses prévues",157200000
1011.0101,"1.1.1.1a. Appuyer l'électrification des véhicules légers - Électrification des automobiles et motocyclettes - Rabais à l'achat (Roulez Vert)","2023-2028","FECC","2025-2026","dépenses prévues",119300000
1011.0101,"1.1.1.1a. Appuyer l'électrification des véhicules légers - Électrification des automobiles et motocyclettes - Rabais à l'achat (Roulez Vert)","2023-2028","FECC","2026-2027","dépenses prévues",83600000
1011.0101,"1.1.1.1a. Appuyer l'électrification des véhicules légers - Électrification des automobiles et motocyclettes - Rabais à l'achat (Roulez Vert)","2023-2028","FECC","2027-2028","dépenses prévues",97000000
1011.0103,"1.1.1.1b. Appuyer l'électrification des véhicules légers - Électrification des taxis","2023-2028","FECC","2023-2024","dépenses prévues",1600000
1011.0103,"1.1.1.1b. Appuyer l'électrification des véhicules légers - Électrification des taxis","2023-2028","FECC","2024-2025","dépenses prévues",3200000
1011.0103,"1.1.1.1b. Appuyer l'électrification des véhicules légers - Électrification des taxis","2023-2028","FECC","2025-2026","dépenses prévues",5000000
1011.0201,"1.1.1.2a. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge à domicile (Roulez vert)","2023-2028","FECC","2023-2024","dépenses réelles",25654649
1011.0201,"1.1.1.2a. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge à domicile (Roulez vert)","2023-2028","FECC","2023-2024","dépenses prévues",13992298
1011.0201,"1.1.1.2a. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge à domicile (Roulez vert)","2023-2028","FECC","2024-2025","dépenses prévues",16566032
1011.0201,"1.1.1.2a. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge à domicile (Roulez vert)","2023-2028","FECC","2025-2026","dépenses prévues",17300000
1011.0201,"1.1.1.2a. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge à domicile (Roulez vert)","2023-2028","FECC","2026-2027","dépenses prévues",17300000
1011.0201,"1.1.1.2a. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge à domicile (Roulez vert)","2023-2028","FECC","2027-2028","dépenses prévues",23858287
1011.0203,"1.1.1.2b. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge multilogement (Roulez vert)","2023-2028","FECC","2023-2024","dépenses réelles",13796719
1011.0203,"1.1.1.2b. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge multilogement (Roulez vert)","2023-2028","FECC","2023-2024","dépenses prévues",13857597
1011.0203,"1.1.1.2b. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge multilogement (Roulez vert)","2023-2028","FECC","2024-2025","dépenses prévues",30838819
1011.0203,"1.1.1.2b. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge multilogement (Roulez vert)","2023-2028","FECC","2025-2026","dépenses prévues",36500000
1011.0203,"1.1.1.2b. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge multilogement (Roulez vert)","2023-2028","FECC","2026-2027","dépenses prévues",38000000
1011.0203,"1.1.1.2b. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge multilogement (Roulez vert)","2023-2028","FECC","2027-2028","dépenses prévues",53632292
1011.0205,"1.1.1.2c. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge au travail (Roulez vert)","2023-2028","FECC","2023-2024","dépenses réelles",8036427
1011.0205,"1.1.1.2c. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge au travail (Roulez vert)","2023-2028","FECC","2023-2024","dépenses prévues",9202950
1011.0205,"1.1.1.2c. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge au travail (Roulez vert)","2023-2028","FECC","2024-2025","dépenses prévues",10363576
1011.0205,"1.1.1.2c. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge au travail (Roulez vert)","2023-2028","FECC","2025-2026","dépenses prévues",11325362
1011.0205,"1.1.1.2c. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge au travail (Roulez vert)","2023-2028","FECC","2026-2027","dépenses prévues",12423717
1011.0205,"1.1.1.2c. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge au travail (Roulez vert)","2023-2028","FECC","2027-2028","dépenses prévues",13123582
1011.0209,"1.1.1.2e. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge sur route et hors réseau","2023-2028","FECC","2023-2024","dépenses réelles",1117745
1011.0209,"1.1.1.2e. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge sur route et hors réseau","2023-2028","FECC","2023-2024","dépenses prévues",1299994
1011.0209,"1.1.1.2e. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge sur route et hors réseau","2023-2028","FECC","2024-2025","dépenses prévues",3299994
