id_action,action,categorie_beneficiaire_action
1011.0101,"1.1.1.1a. Appuyer l'électrification des véhicules légers - Électrification des automobiles et motocyclettes - Rabais à l'achat (Roulez Vert)","Citoyens"
1011.0101,"1.1.1.1a. Appuyer l'électrification des véhicules légers - Électrification des automobiles et motocyclettes - Rabais à l'achat (Roulez Vert)","Entreprises (grandes entreprises)"
1011.0101,"1.1.1.1a. Appuyer l'électrification des véhicules légers - Électrification des automobiles et motocyclettes - Rabais à l'achat (Roulez Vert)","Entreprises (petites ou moyennes entreprises)"
1011.0101,"1.1.1.1a. Appuyer l'électrification des véhicules légers - Électrification des automobiles et motocyclettes - Rabais à l'achat (Roulez Vert)","Milieu municipal"
1011.0101,"1.1.1.1a. Appuyer l'électrification des véhicules légers - Électrification des automobiles et motocyclettes - Rabais à l'achat (Roulez Vert)","Organismes à but non lucratif"
1011.0103,"1.1.1.1b. Appuyer l'électrification des véhicules légers - Électrification des taxis","Citoyens"
1011.0103,"1.1.1.1b. Appuyer l'électrification des véhicules légers - Électrification des taxis","Entreprises (grandes entreprises)"
1011.0103,"1.1.1.1b. Appuyer l'électrification des véhicules légers - Électrification des taxis","Entreprises (petites ou moyennes entreprises)"
1011.0103,"1.1.1.1b. Appuyer l'électrification des véhicules légers - Électrification des taxis","Milieu municipal"
1011.0201,"1.1.1.2a. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge à domicile (Roulez vert)","Citoyens"
1011.0201,"1.1.1.2a. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge à domicile (Roulez vert)","Entreprises (grandes entreprises)"
1011.0201,"1.1.1.2a. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge à domicile (Roulez vert)","Entreprises (petites ou moyennes entreprises)"
1011.0201,"1.1.1.2a. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge à domicile (Roulez vert)","Milieu municipal"
1011.0201,"1.1.1.2a. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge à domicile (Roulez vert)","Organismes à but non lucratif"
1011.0203,"1.1.1.2b. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge multilogement (Roulez vert)","Organismes à but non lucratif"
1011.0203,"1.1.1.2b. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge multilogement (Roulez vert)","Milieu municipal"
1011.0203,"1.1.1.2b. Appuyer l’implantation de bornes dans les résidences, les entreprises et sur le réseau routier - Bornes de recharge multilogement (Roulez vert)","Syndicats de copropriété"
